,Rank,Site Name,Nomination Year,Country,Rating,State,Latitude,Longitude,,
0,1,Galapagos Islands,1978,Ecuador,4.8,,,,,
1,2,Quito,1978,Ecuador,3.4,,,,,
2,3,Aachen Cathedral,1978,Germany,3.71,,,,,
3,4,L'Anse aux Meadows,1978,Canada,3.39,,,,,
4,8,Ichkeul National Park,1980,Tunisia,2.3,,,,,
5,9,Simien National Park,1978,Ethiopia,3.75,,,,,
6,10,Lower Valley of the Awash,1980,Ethiopia,3.14,,,,,
7,12,Tiya,1980,Ethiopia,2.28,,,,,
8,13,Melka Kunture and Balchit,2024,Ethiopia,1.61,,,,,
9,15,Aksum,1980,Ethiopia,3.42,,,,,
10,17,Lower Valley of the Omo,1980,Ethiopia,3.57,,,,,
11,18,Lalibela,1978,Ethiopia,4.41,,,,,
12,19,Fasil Ghebbi,1979,Ethiopia,3.31,,,,,
13,20,Damascus,1979,Syria,4.15,,,,,
14,21,Aleppo,1986,Syria,3.82,,,,,
15,22,Bosra,1980,Syria,3.31,,,,,
16,23,Palmyra,1980,Syria,4.27,,,,,
17,24,Nahanni National Park,1978,Canada,4.37,,,,,
18,25,Djoudj,1981,Senegal,3.08,,,,,
19,26,Island of Gorée,1978,Senegal,3.07,,,,,
20,27,Mesa Verde,1978,United States of America,4.12,,,,,
21,28,Yellowstone,1978,United States of America,4.81,,,,,
22,29,Kraków,1978,Poland,4.09,,,,,
23,30,Warsaw,1980,Poland,3.27,,,,,
24,31,Auschwitz Birkenau,1979,Poland,4.1,,,,,
25,32,Wieliczka and Bochnia Royal Salt Mines,1978,Poland,3.71,,,,,
26,33,Białowieża Forest,1979,Poland,2.87,,,,,
27,34,Forts and Castles Gold Coast,1979,Ghana,3.13,,,,,
28,35,Asante Traditional Buildings,1980,Ghana,2.04,,,,,
29,36,Medina of Tunis,1979,Tunisia,3.13,,,,,
30,37,Carthage,1979,Tunisia,3.26,,,,,
31,38,Amphitheater of El Jem,1979,Tunisia,3.59,,,,,
32,39,Ngorongoro,1979,Tanzania,4.5,,,,,
33,42,Boyana Church,1979,Bulgaria,2.97,,,,,
34,43,Madara Rider,1979,Bulgaria,2.19,,,,,
35,44,Thracian tomb of Kazanlak,1979,Bulgaria,2.4,,,,,
36,45,Rock-hewn Churches of Ivanovo,1979,Bulgaria,2.9,,,,,
37,55,Røros,1980,Norway,3.14,,,,,
38,58,Urnes Stave Church,1979,Norway,3.59,,,,,
39,59,Bryggen,1979,Norway,3.29,,,,,
40,63,Virunga National Park,1979,Congo (Democratic Republic),4.54,,,,,
41,64,Tikal National Park,1979,Guatemala,4.61,,,,,
42,65,Antigua Guatemala,1979,Guatemala,3.82,,,,,
43,71,Dinosaur Provincial Park,1979,Canada,3.63,,,,,
44,72,Glacier parks,1979,Canada,4.23,,,,,
45,75,Grand Canyon,1979,United States of America,4.5,,,,,
46,76,Everglades,1979,United States of America,3.68,,,,,
47,78,Independence Hall,1979,United States of America,2.96,,,,,
48,79,Paphos,1980,Cyprus,3.42,,,,,
49,80,Mont-Saint-Michel,1979,France,4.23,,,,,
50,81,Chartres Cathedral,1979,France,3.5,,,,,
51,83,Versailles,1979,France,4.04,,,,,
52,84,Vézelay,1979,France,3.18,,,,,
53,85,Vézère Valley,1979,France,3.64,,,,,
54,86,Pyramids (Memphis),1979,Egypt,4.58,,,,,
55,87,Ancient Thebes,1979,Egypt,4.58,,,,,
56,88,Nubian Monuments,1979,Egypt,4.37,,,,,
57,89,Historic Cairo,1979,Egypt,3.7,,,,,
58,90,Abu Mena,1979,Egypt,1.71,,,,,
59,91,Rome,1980,Holy See,4.68,,,,,
60,93,Santa Maria delle Grazie,1980,Italy,3.39,,,,,
61,94,Rock Drawings in Valcamonica,1979,Italy,3.21,,,,,
62,95,Dubrovnik,1979,Croatia,4.15,,,,,
63,96,Stari Ras and Sopocani,1979,Serbia,2.92,,,,,
64,97,Split,1979,Croatia,3.55,,,,,
65,98,Plitvice Lakes,1979,Croatia,4.18,,,,,
66,99,Ohrid Region,1979,North Macedonia,3.52,,,,,
67,100,Durmitor National Park,1980,Montenegro,3.53,,,,,
68,102,Al Qal'a of Beni Hammad,1980,Algeria,2.54,,,,,
69,111,Bale Mountains National Park,2023,Ethiopia,3.95,,,,,
70,113,Tchogha Zanbil,1979,Iran,3.72,,,,,
71,114,Persepolis,1979,Iran,4.56,,,,,
72,115,"Meidan Emam, Esfahan",1979,Iran,4.12,,,,,
73,116,Djenné,1988,Mali,3.99,,,,,
74,119,Timbuktu,1988,Mali,3.78,,,,,
75,120,Sagarmatha National Park,1979,Nepal,4.08,,,,,
76,121,Kathmandu Valley,1979,Nepal,3.94,,,,,
77,124,Ouro Preto,1980,Brazil,3.69,,,,,
78,125,Kotor,1979,Montenegro,3.86,,,,,
79,129,Copán,1980,Honduras,4.04,,,,,
80,130,Hal Saflieni Hypogeum,1980,Malta,3.91,,,,,
81,131,Valletta,1980,Malta,3.79,,,,,
82,132,Megalithic Temples of Malta,1980,Malta,3.62,,,,,
83,134,Redwood,1980,United States of America,4.17,,,,,
84,135,Portobelo-San Lorenzo,1980,Panama,2.76,,,,,
85,136,Garamba National Park,1980,Congo (Democratic Republic),0,,,,,
86,137,Kahuzi-Biega National Park,1980,Congo (Democratic Republic),4.07,,,,,
87,138,Moenjodaro,1980,Pakistan,3.92,,,,,
88,139,Taxila,1980,Pakistan,3.41,,,,,
89,140,Takht-i-Bahi,1980,Pakistan,3.34,,,,,
90,143,"Makli, Thatta",1981,Pakistan,3.41,,,,,
